company,Owner Name,mobile,email,address,pincode,city,website,category,State
Talwalkars Gym,Anjali,9815484161,ig@talwalkars.net,Sector 9  326,160009,Chandigarh,www.talwalkars.net,Gymnasiums/Health Clubs,
Fitmann Fitness Equipment,Deepak Singh,9814042105,dynamicmachines@gmail.com,Industrial Area Phase II Asharm Road 299,160002,Chandigarh,www.fitmann.com,Gymnasium Equipments,
Fitline Gym Equipments,Jitender,8800695926,sales@fitlineindia.com,Sector 20 MG Road ,121001,Faridabad,www.fitlineindia.com,Gymnasium Equipments,
Aqua Solutions,Anil Kaushal,9417047711,aquasol340@gmail.com,"Industrial Area Phase II Plot No 60, M I D C 340",160002,Chandigarh,www.aquasol.in,Gymnasiums/Health Clubs,
Fit Line,Puneet Nindra,9212609471,puneetfitline@gmail.com,Ardee City  A-14/28 B,122001,Gurgaon,www.fitline.com,Gymnasium Equipments,
Grand Slam Storefull Of Fitness,Amit,9871670650,grand_slamho@rediffmail.com,Abhay Singh Market M G Road 19,122001,Gurgaon,www.grandslamfitness.co.in,Gymnasium Equipments,
Living Well,Mahendra,9829466900,livingwellindia@yahoo.com,Gopalpura Anand Vihar A-57,302015,Jaipur,www.livingwellindia.com,Gymnasium Equipments,
Ganesham Fitness Zone,Amit Dhoka,9829272072,jaipur@goldsgymindia.com,Malviya Nagar  ,302017,Jaipur,www.goldsgymindia.com,Gymnasiums/Health Clubs,
Sunshine Fittness Pvt Ltd,Sangeeta Ranka,8955382360,sangeeta@fittnessinc.com,C Scheme Ramesh Marg E 145,302001,Jaipur,www.fittnessinc.com,Gymnasiums/Health Clubs,
Matrix Sales,Ashish Pareek,9214026493,sales@matrixsales.co.in,Tonk Road  41400,302015,Jaipur,www.matrixsales.co.in,Gymnasium Equipments,
Proline Fitness,Arun Pal Singh,9928090566,jaipur@cravatex.com,Adarsh Nagar Govind Marg 11-8A,302004,Jaipur,www.prolinefitness.in,Gymnasium Equipments,
Golds Gym,Lalit,9829272139,jaipur@goldsgymindia.com,Malviya Nagar  ,302017,Jaipur,www.goldsgymindia.com,Gymnasiums/Health Clubs,
Grand Slam Storefull Of Fitness,Mr.Abhay Nath,9350597206,grand_slamho@rediffmail.com,Indirapuram  56,201001,Ghaziabad,www.grandslamfitness.co.in,Gymnasium Equipments,
Profit Fitness,Mr Sunil Baveja,9829033072,hindsports@yahoo.co.in,"Raja Park   Showroom No.1,Adarsh Vidya Mandir School,Govind Marg",302004,Jaipur,ww.profitfitness.com,Gymnasiums/Health Clubs,
Charge Fitness,Mohims,9250037859,info@chargeup.in,Indirapuram  ,201010,Ghaziabad,www.chargeup.in,Gymnasiums/Health Clubs,
Rishi Industries,Bhawnesh,9829029697,info@rishifitness.com,Pratap Nagar  A-60,342004,Jodhpur,www.rishifitness.com,Gymnasium Equipments,
Deepa Travels,Smith Puri,9888079019,deepatravels@hotmail.com,Mall road Sidhpeeth ,141001,Ludhiana,www.deepatravels.com,Gymnasiums/Health Clubs,
Libra Health Club,Deepak Parashar,9815077474,drdeepak@mail.com,Firozpur Road 1st Main 3rd stage 2nd Block ,141001,Ludhiana,www.librahealthclub.com,Gymnasiums/Health Clubs,
Assotech Electronics Pvt Ltd,Dr Dinesh Kapoor,9810285650,info@fitness-world.in,Sector 63 Gautam Budh Nagar A 43,201301,Noida,www.fitness-world.in,Gymnasium Equipments,
Fitline Gym Equipments,Vivek,8800695910,sales@fitlineindia.com,Sector 38  327-D,201301,Noida,www.fitlineindia.com,Gymnasium Equipments,
Bodycraft Sports Pvt Ltd,Mr Rajeender Singh,9811167494,bodycraftsport@yahoo.co.in,"Ghaziabad NULL Building 5/C,Kailash Nagar",201301,Noida,www.bodycraftsport.com,Gymnasium Equipments,
Grand Slam Fitness Pvt Ltd,Sanjay Kotha,9313313955,info@grandslamfitness.co.in,Sector 58 NULL C-58,201301,Noida,www.grandslamfitness.co.in,Gymnasium Equipments,
Body Balance,Prashant Raja,9825460306,bodybalancesurat@gmail.com,Nanpura S C Road 1/785,395001,Surat,www.bodybalancesurat.com,Gymnasiums/Health Clubs,
Barbarian Power Gym Pvt Ltd,Urvish Patel,9376980460,barbarian.surat@yahoo.com,Dumas Road Solapur Mumbai High Way 319,395007,Surat,www.barbarianpowergym.com,Gymnasiums/Health Clubs,
Health Wealth & Happiness,Hardik Contractor,9726695038,healthyworld100@gmail.com,Bhatar Road Chinchwad Road U 15,395001,Surat,www.myrealwealth.in,Gymnasiums/Health Clubs,
Contours,Partha Mehta,9426372727,contours.vadodara@contoursindia.in,Vasna Road NULL A/2,390007,Vadodara,www.contoursindia.in,Gymnasiums/Health Clubs,
New Hercules Health Spa,Firdaus Patva,9662998897,firdaus@vadodaramailinglist.com,Gotri Road NULL 73,390021,Vadodara,www.vadodaramailinglist.com,Gymnasiums/Health Clubs,
Fitness World,Aslam,9879532382,fitnessworlddjk@yahoo.com,Alkapuri Railway Colony 6,390007,Vadodara,www.fitness-world.in,Gymnasium Equipments,
Xpower Nutrition Pvt Ltd,Nisha,9825244450,xpowernutrition@gmail.com,Alkapuri  1,390007,Vadodara,www.fitnessdirect.in,Gymnasium Equipments,
Home Fitness Direct,Shyam Prabhakar,9998217845,homefitnessdirect@hotmail.com,Race Course Circle  41306,390007,Vadodara,www.homefitnessdirect.co.uk,Gymnasium Equipments,
Hara Synosure Fitness Equipment Pvt Ltd,Surendra,9886391136,harasynosureindia@gmail.com,Katraj Handewadi Chowk 16/2,411046,Pune,www.harasynosureindia.com,Gymnasium Equipments,
Fitness Corner,Sanjay Toliya,9377635763,fitnesscorner.fitness@gmail.com,Alkapuri Science City Road ,390007,Vadodara,www.afton.in,Gymnasium Equipments,
Talwalkars Gym,Rasima,8805344501,ringroad@talwalkars.net,Kothrud 4th  Sectors 14th Main 41276,411038,Pune,www.talwalkars.net,Gymnasiums/Health Clubs,
Summit Fitness Equipment,Aasif Shaikh,9158438660,summitfitness.co@gmail.com,Pimpri Sola Road A 12,411018,Pune,www.summitfitness.com,Gymnasium Equipments,
Home Fitness,Ashish Grover,9890990022,oriental_sports@hotmail.com,M G Road Camp Cantonment 247,411001,Pune,www.homefitnessdirect.co.uk,Gymnasium Equipments,
Mantra Resort,Shailesh Vichare,9881370643,info@mantraresort.com,"Navi Peth Navi Peth, LBS Road, Pune 63",411030,Pune,www.mantra.com,Gymnasiums/Health Clubs,
Spavy Fitness Equipments Pvt Ltd,Subodh Gokhale,9881409163,contact@spavyfitness.com,Kothrud  P1/5,411038,Pune,www.spavyfitness.com,Gymnasium Equipments,
Gold Gym,Mr Anil,9604025000,aundh.pune@goldgymindia.com,Nagar Road Daba Colony A 127/1,411014,Pune,www.goldsgymindia.com ,Gymnasiums/Health Clubs,
Ensigns Healthcare,Mrs Shankari,9881159261,ensignshealthcare@gmail.com,Baner Gaon NULL 3,411045,Pune,www.ensignshealthcare.com,Gymnasium Equipments,
Deluxe Sports Industries,Amrish,9822522224,deluxesports@yahoo.co.in,Wanawadi NULL 4,411040,Pune,www.deluxesportsind.com,Gymnasium Equipments,
ABS Fitness & Wellness Club,Shalu,9822290727,corpsales@absfitness.in,Bund Garden Road 4 Cross 8 Main T/9,411001,Pune,www.absfitness.in,Gymnasiums/Health Clubs,
Minal Abhyankar,Ms Minal Abhyankar,9423566648, ,Bibwewadi NULL C/3/7,411037,Pune,0,Gymnasiums/Health Clubs,
Optimum Health Gym,Aniket Yande,9881121667,optchin@optimumhealth.in,Pimple Saudagar Tilak Madan 313,411027,Pune,www.optimumhealth.in,Gymnasiums/Health Clubs,
D S Engineering,Sanjay Sawant,9011075674,dsengineeringbodymaster@gmail.com,"Prabhat Road Sakal Nagar, Baner Road 38/18",411004,Pune,www.bodymasterindia.com,Gymnasium Equipments,
ABS Fitness & Wellness Club,Faizan Khan,9860643987,corpsales@absfitness.in,Pimpri  503,411018,Pune,www.absfitness.in,Gymnasiums/Health Clubs,
Summit Fitness Equipment,Mr Saad,9881878207,summitfitness.co@gmail.com,Chinchwad Bhattha 6,411019,Pune,www.summitfitness.com,Gymnasium Equipments,
Rohidas Enterprises,Mr. Rohidas Kakare,9822065738,rohidasenterprises@gmail.com,"Warje Hoodi S No 44-1,Raghwani Complex,N D A Road,Ganapati Matha,Near Ganesh Mandir,Malwdi,Warje Near Ganesh Mandir",411058,Pune,www.goldenpools.in,Gymnasiums/Health Clubs,
Reflex Gym & Fitness Center,nitin kushekar,9850809409,nitin.fitnessconsultant@gmail.com,"Pisoli Vishal Corner, Link Road ",411028,Pune,www.raflexfitness.com,Gymnasiums/Health Clubs,
Body Kraft Fitness Studio,Mr Nitesh Tapkir,9673551818,bodykraft.fitnessstudio@gmail.com,Pimpri NULL ,411018,Pune,www.bodykraftfitness.com,Gymnasiums/Health Clubs,
Topspin India Health Care Pvt Ltd,Baqar Nasser,9920084440,info@topspinindia.com,Nepensea Road Malabar Hill 16/A,400036,Mumbai,www.topspinindia.com,Gymnasiums/Health Clubs,
My Fitness Centre,Parag,9029999675,myfitnesscentre@gmail.com,Dadar West Doctor Bhavani Shankar Road ,400028,Mumbai,www.myfitnesscentre.in,Gymnasiums/Health Clubs,
The Country Club,Suman,9892692115,bhajuram@countryclubmail.com,"Andheri 6th Cross 1st main C/17, B/5",400053,Mumbai,www.countryclubbombay.com,Gymnasiums/Health Clubs,
Home Fitness Direct,Answar Ansari,9820023221,mumbai@homefitnessdirect.in,D Road  ,400020,Mumbai,www.homefitnessdirect.co.uk,Gymnasium Equipments,
Sadguru Mission Fitness,Ramdas Shenoy,9820289021,missionfitness@yahoo.com,Sandhut Road  7,400009,Mumbai,www.missionfitess.co.in,Gymnasiums/Health Clubs,
Global Corporation,Pathak J K,9869008156,global_corporation2000@yahoo.co.in,Jogeshwari West  A/9,400102,Mumbai,www.globalpathak.com,Gymnasium Equipments,
Fitness Guru,Ms Meenakshi,9619713160,akash.embryologist@gmail.com,"Malad East Kirnai Road Allmujdilfa, 7th Floor Room 70",400097,Mumbai,www.noidafitnessguru.com,Gymnasium Equipments,
Total Sports & Fitness,Prabhat Maurya,9619190912,info@totalsf.in,Dadar NULL 806,400014,Mumbai,www.totalsf.in,Gymnasium Equipments,
Big Boss Beauty Parlour,Ms Asha Pai,9833940306,info@harishbigboss.com,"Borivali West Man Darwaja Building No - 3, Sundaram,Raiy",400092,Mumbai,www.harishbigboss.com,Gymnasiums/Health Clubs,
Steam & Sauna Paradise,Anshu Sood,9871520888,info@steamnsauna.com,Jiwan Nagar  207-D,110014,Delhi,www.steamnsauna.com,Gymnasium Equipments,
Madhuri Ruias Integym,Shruti,9820224323,contact@integym.com,C S M Road NULL 1-A 7,400039,Mumbai,www.integym.com,Gymnasiums/Health Clubs,
Emergent Medi Tech India Pvt Limited,Ms Jessica Fernandes,9869694245,altaf.faiyaz@emergent.in,"Kurla West Udhna Main Road Gala No 118, Damji Shamji Indu",400070,Mumbai,www.emergent.in,Gymnasium Equipments,
Elite Fitness,Mr Sunil Kudva,9833935919,elite.fitness.info@gmail.com,"Gamdevi NULL Basement, Ocean Prince Buildin",400007,Mumbai,www.elitefitness.in,Gymnasiums/Health Clubs,
Elite Fitness,Sunil Kudva,9320088191,elite.fitness.info@gmail.com,Perry Cross Road Main Road ,400050,Mumbai,www.elitefitness.in,Gymnasium Equipments,
Fit Line,Mr . Harmeet Singh,9810069888,harmeetfitline@gmail.com,Shahzada Bagh Old Rohtak Road 308 / 9,110035,Delhi,www.fitlineindia.com,Gymnasium Equipments,
Energie Gym & Spa,Pankaj,9266629004,info@energieindia.com,Rajouri Garden Shivaji Enclave Gn-2,110027,Delhi,www.energieindia.com,Gymnasiums/Health Clubs,
Talwalkers,Sunil,9990574911,tnagar@talwalkers.net,Greater Kailash II M Block Market M-63,110048,Delhi,www.talwalkers.net,Gymnasiums/Health Clubs,
Amazing Health Solutions,Rajeev Walia,9810133374,info@ahsdelhi.com,Raja Garden  WZ-106/144,110027,Delhi,www.ahsdelhi.com,Gymnasiums/Health Clubs,
Proline Fitness,Mr. Jatin,9711147085,hauz.khas@cravetex.com,East Of Kailash  ,110065,Delhi,www.prolinefitness.in,Gymnasium Equipments,
Mantra 4 Fitness,Megha Oberoi,9560013859,megha@mantra4fitness.com,Rajouri Garden  2,110027,Delhi,www.mantra4fitness.com,Gymnasiums/Health Clubs,
Proline Fitness,Sanjeev,9811045718,hauz.khas@cravetex.com,Hauz Khas Main Road G 1,110016,Delhi,www.prolinefitness.in,Gymnasium Equipments,
Grand Slam,Prateek Sood,9311128882,grand_slamho@rediffmail.com,Greater Kailash II Greater Kailash Part 2 M 74,110048,Delhi,www.grandslamfitness.co.in  ,Gymnasium Equipments,
J S N Healthcare Products,Arif Khan,9818783447,jsnmktg17@rediffmail.com,Dwarka Sector 4  123,110075,Delhi,www.jsnhealthindia.com,Gymnasium Equipments,
Fitline Gym Equipments,Rajkumar,8800695913,sales@fitlineindia.com,Paschim Vihar New Multan Nagar B-36,110063,Delhi,www.fitlineindia.com,Gymnasium Equipments,
Fit Line,mr puneet nindra,8800695914,puneetfitline@gmail.com,Hargovind Enclave  11,110092,Delhi,www.fitline.com,Gymnasium Equipments,
Energie Gym,Rahat,9266629016,info@energieindia.com,Anand Vihar Hargobind Enclave 115,110092,Delhi,www.energieindia.com,Gymnasiums/Health Clubs,
Fitline Gym Equipments,Anil,8800695915,sales@fitlineindia.com,Dwarka Sector 7  D-416,110075,Delhi,www.fitlineindia.com,Gymnasium Equipments,
Camel India,Pradeep Thapar,9310293295,india@yahoo.com,Anand Parbat Galli 4 A-13,110005,Delhi,www.camelindiadelhi.com,Gymnasium Equipments,
Power House Fitness Stores,Raj Dingra,9811202265,powerhousesports@hotmail.com,Hauz Khas  30,110016,Delhi,www.powerhousesportsinternational.com,Gymnasium Equipments,
